Rank,Name,,Country,event_name,date,gender
67,ANTONIA,VALENZUELA,CHI,Innsbruck_(AUT)_2018,6 September - 16 September 2018,Women
1,JAKOB,SCHUBERT,AUT,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Men
2,ADAM,ONDRA,CZE,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Men
3,JAN,HOJER,GER,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Men
4,KAI,HARADA,JPN,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Men
5,TOMOA,NARASAKI,JPN,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Men
6,KOKORO,FUJII,JPN,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Men
1,JANJA,GARNBRET,SLO,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Women
2,SOL,SA,KOR,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Women
3,JESSICA,PILZ,AUT,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Women
4,AKIYO,NOGUCHI,JPN,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Women
5,MIHO,NONAKA,JPN,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Women
6,PETRA,KLINGLER,SUI,Innsbruck_(AUT)_2018,15 September - 16 September 2018,Women
