Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
21,JAN,HOJER,GER,2t3 2b2,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
21,MYKHAYLO,SHALAGIN,UKR,3t7 5b9,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
23,NICKY,DE LEEUW,NED,2t3 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
23,WOUTER,JONGENEELEN,NED,2t3 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
23,STEWART,WATSON,GBR,2t3 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
23,CHRISTOPHER,WEBB-PARSONS,AUS,3t9 4b11,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
27,KEVIN,HEMUND,SUI,2t2 5b11,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
28,JONAS,BAUMANN,GER,2t2 4b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
29,TOM,NEWMAN,GBR,2t2 4b12,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
29,STEFAN,SCARPERI,ITA,2t4 4b9,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
31,FRANCOIS,KAISER,FRA,2t3 4b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
31,URBAN,PRIMOZIC,SLO,2t4 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
31,ETHAN,PRINGLE,USA,2t3 4b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
34,MARTIN,STRANIK,CZE,2t5 2b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
35,BENJAMIN,BLASER,SUI,2t4 4b9,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
35,ROBERT,RUNDIN,SWE,2t5 2b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
37,FABIEN,COMINA,FRA,2t4 4b10,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
37,SYLVAIN,ROCHE,FRA,2t6 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
39,JURE,BECAN,SLO,2t6 2b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
39,IGNACIO,SANCHEZ GONZÁLEZ,ESP,2t5 5b13,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
41,JAMES,KASSAY,AUS,2t8 3b13,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
41,MAKOTO,YAMAUCHI,JPN,2t5 4b8,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
43,JEREMY,BONDER,FRA,1t1 4b11,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
43,REMO,SOMMER,SUI,1t1 4b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
45,JONATHAN,PARTRIDGE,GBR,1t1 2b2,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
45,IGNASI,TARRAZONA GASQUE,ESP,1t1 2b2,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
45,PETER,WÜRTH,GER,1t1 3b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
48,RAPHAEL,FERNANDEZ,BEL,1t2 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
49,MATHIAS,CONRAD,GER,1t1 2b8,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
49,CHRISTIAN,CORE,ITA,1t3 4b11,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
51,DANIEL,ANDERSSON,SWE,1t2 3b6,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
51,DANIEL,UNGUREANU,ROU,1t3 2b4,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
53,VICTOR,DRAGOI,ROU,1t4 2b5,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
53,YOSUKE,SENBONGI,JPN,1t2 2b3,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
55,NICOLAS,FARCY,BEL,1t2 1b1,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
55,MIKHAIL,GOGOL,RUS,1t5 4b21,,,Dragomer_(SLO)_2012,21 April - 22 April 2012,Men
