Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
99,STEFAN,BEDNAR,SVK,0t2z 0 2,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
99,JOÃO,EVORA,POR,0t3z 0 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
101,LUKAS,GEUKENS,BEL,0t2z 0 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
101,ROBERT,LUBY,SVK,0t2z 0 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
103,HRISTO,ALTANCHEV,BUL,0t1z 0 1,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
103,JAKUB,JEDLICKA,CZE,0t2z 0 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
103,PETERIS,MEIRANS,LAT,0t1z 0 1,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
106,RICARDO,COIMBRA,POR,0t2z 0 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
107,MANUEL FILIPE,CARVALHO,POR,0t1z 0 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
107,NADAV,GROPPER,ISR,0t0z 0 0,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
109,MILOS,NEMY,SVK,0t1z 0 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Men
1,MIHO,NONAKA,JPN,4t5z 7 7,2t4z 3 10,4t4z 5 5,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
2,JANJA,GARNBRET,SLO,4t4z 5 4,3t4z 4 4,4t4z 7 5,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
3,AKIYO,NOGUCHI,JPN,4t5z 4 5,3t4z 3 4,4t4z 9 9,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
4,SANDRA,LETTNER,AUT,4t5z 7 8,2t4z 7 14,3t4z 5 5,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
5,FANNY,GIBERT,FRA,4t5z 9 11,1t3z 1 4,3t3z 4 3,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
6,SHAUNA,COXSEY,GBR,3t5z 4 11,2t4z 2 8,2t4z 5 11,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
7,JESSICA,PILZ,AUT,4t5z 5 6,1t3z 1 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
8,KATJA,DEBEVEC,SLO,3t5z 4 9,1t3z 2 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
9,LEAH,CRANE,GBR,3t5z 4 8,1t2z 1 4,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
10,CHLOE,CAULIER,BEL,4t5z 9 7,1t2z 1 8,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
11,AYA,ONOE,JPN,3t4z 4 7,1t2z 2 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
12,SOL,SA,KOR,4t5z 5 8,1t2z 4 5,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
13,STASA,GEJO,SRB,5t5z 5 5,0t3z 0 7,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
13,PETRA,KLINGLER,SUI,4t5z 9 10,0t3z 0 7,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
15,MAO,NAKAMURA,JPN,3t5z 7 9,0t2z 0 2,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
16,BERIT,SCHWAIGER,AUT,3t5z 5 6,0t2z 0 4,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
17,MAYA,MADERE,USA,3t5z 9 11,0t2z 0 7,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
17,MÉLANIE,SANDOZ,FRA,3t5z 5 7,0t2z 0 7,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
19,GIORGIA,TESIO,ITA,4t5z 8 8,0t2z 0 8,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
20,MIA,KRAMPL,SLO,3t5z 3 10,0t1z 0 3,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
21,JOHANNA,FÄRBER,AUT,3t4z 4 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
21,LILLI,KIESGEN,GER,3t4z 6 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
23,CLAIRE,BUHRFEIND,USA,3t4z 6 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
23,KATHARINA,SAURWEIN,AUT,3t3z 5 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
25,ANDREA,KÜMIN,SUI,3t3z 7 3,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
25,BROOKE,RABOUTOU,USA,2t5z 4 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
27,FUTABA,ITO,JPN,2t5z 5 7,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
27,TJASA,SLEMENSEK,SLO,3t3z 10 10,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
29,HANNAH,MEUL,GER,2t5z 8 12,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
29,ALANNAH,YIP,CAN,2t5z 4 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
31,SUNNIVA EIK,HAAVE,NOR,2t4z 3 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
31,SAKI,KIKUCHI,JPN,2t4z 3 9,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
31,MINA,MARKOVIC,SLO,2t4z 2 5,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
34,SIERRA,BLAIR-COYLE,USA,2t4z 2 6,,,Meiringen_(SUI)_2018,13 April - 14 April 2018,Women
