Rank,Name,,Country,Qualification,Semi-Final,Final
132,BORNA,CUJIC,CRO,0t1z 0 2,,
132,CAMPBELL,HARRISON,AUS,0t1z 0 2,,
132,CHINGKHEINGANBA,MAIBAM,IND,0t1z 0 2,,
132,IVAN,PEVEC,CRO,0t1z 0 2,,
132,NICKOLAIE,RIVADENEIRA,ECU,0t1z 0 2,,
137,PEDRO,BELLO,CHI,0t1z 0 3,,
137,ROMAN,KOVALYEV,KGZ,0t1z 0 3,,
137,OR,MINIELY,ISR,0t1z 0 3,,
137,ALEKSANDR,SHORIKOV,EST,0t1z 0 3,,
141,JAVIER,CANO BLAZQUEZ,ESP,0t1z 0 2,,
141,MACIEJ,DOBRZANSKI,POL,0t1z 0 2,,
141,MYKHAYIL,TKACHUK,UKR,0t1z 0 2,,
141,DANNY,VALENCIA,ECU,0t1z 0 2,,
145,VIKTOR,TRPOVSKI,MKD,0t1z 0 6,,
146,RESHMIN MIHIN,AMARASINGHE,SRI,0t0z 0 0,,
146,MARCIN,DZIENSKI,POL,0t0z 0 0,,
146,GIORGI,JAPARIDZE,GEO,0t0z 0 0,,
149,ORFEAS,TSIAOUSIS,GRE,0t1z 0 4,,
150,SERGII,KARPIN,UKR,0t1z 0 7,,
