Rank,Name,,Country,Qualification,Semi-final,Final,event_name,Date,Gender
6,NICOLAI,UZNIK,AUT,3t4z 10 7,1t1z 2 2,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
7,YANNICK,FLOHÉ,GER,3t3z 5 5,1t1z 3 1,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
8,TOBY,ROBERTS,GBR,3t5z 19 24,1t1z 3 3,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
9,YUJI,INOUE,JPN,3t5z 15 16,1t1z 4 4,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
10,SAM,AVEZOU,FRA,3t5z 6 9,1t1z 5 3,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
11,MAXIMILLIAN,MILNE,GBR,4t5z 12 14,0t2z 0 4,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
12,YOSHIYUKI,OGATA,JPN,3t4z 6 8,0t2z 0 7,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
13,HANNES,VAN DUYSEN,BEL,3t3z 8 7,0t2z 0 8,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
14,SIMON,LORENZI,BEL,2t5z 3 14,0t1z 0 1,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
15,ALBERTO,GINÉS LÓPEZ,ESP,4t4z 15 14,0t1z 0 2,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
16,NICOLAS,COLLIN,BEL,3t4z 4 5,0t1z 0 3,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
17,SEAN,BAILEY,USA,3t4z 11 9,0t1z 0 4,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
17,MATHIEU,TERNANT,FRA,3t5z 13 19,0t1z 0 4,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
19,RITSU,KAYOTANI,JPN,3t4z 5 16,0t0z 0 0,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
20,KOKORO,FUJII,JPN,4t5z 8 9,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
21,PAUL,JENFT,FRA,2t5z 3 17,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
21,ALEX,KHAZANOV,ISR,3t3z 10 10,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
23,DAIKI,SANO,JPN,2t4z 5 9,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
23,JAKOB,SCHUBERT,AUT,2t4z 2 7,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
25,ZAN,LOVENJAK SUDAR,SLO,2t4z 5 11,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
25,MICKAEL,MAWEM,FRA,2t4z 2 8,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
