Rank,Name,,Country,Qualification,Final,event_name,Date,Gender
16,ANDREA,ROJAS,ECU,7.41,7.52 (7.411),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
17,BEATRICE,COLLI,ITA,7.42,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
18,NURUL,IQAMAH,INA,7.44,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
19,MANON,LEBON,FRA,7.51,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
20,FRANZISKA,RITTER,GER,7.57,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
21,LISON,GAUTRON,FRA,7.65,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
22,AI,TAKEUCHI,JPN,7.84,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
23,TAMARA,ULZHABAYEVA,KAZ,7.85,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
24,KARIN,HAYASHI,JPN,7.993,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
25,AURELIA,SARISSON,FRA,7.994,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
26,PIPER,KELLY,USA,8.16,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
27,HEEJU,NOH,KOR,8.21,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
28,FUMIKA,KAWAKAMI,JPN,8.22,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
29,VICTOIRE,ANDRIER,FRA,8.37,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
30,SOPHIA,CURCIO,USA,8.390,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
31,ASSEL,MARLENOVA,KAZ,8.396,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
32,HANAREUM,SUNG,KOR,8.54,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
33,CALLIE,CLOSE,USA,8.61,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
34,HARUKA,KANETANI,JPN,9.03,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
35,DASOM,YUN,KOR,9.175,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
36,NATSUMI,HAYASHI,JPN,9.179,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
37,SEOYEON,PARK,KOR,9.39,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
38,ANNA,BALARSHINA,KAZ,9.42,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
39,ABIGAIL,RUANO,ECU,9.54,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
40,SARAH,TETZLAFF,NZL,9.56,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
41,NAWOO,CHOI,KOR,9.79,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
42,GRACE,CROWLEY,AUS,9.87,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
43,YENA,PI,KOR,9.96,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
44,SHIVPREET,PANNU,IND,10.12,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
45,YE JIN,JUNG,KOR,10.28,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
46,JORJA,RANGI,NZL,11.04,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
47,ERICA,VELEV,CAN,13.68,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
48,PATRYCJA,CHUDZIAK,POL,fall,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
49,SHENGYAN,WANG,CHN,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
49,MI,YANG,CHN,false start,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Women
1,RAHARJATI,NURSAMSA,INA,5.18,5.11,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
2,XINSHANG,WANG,CHN,5.28,5.14,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
3,KIROMAL,KATIBIN,INA,5.03,6.34,IFSC_World_Cup_Jakarta_2023,6 May - 7 May 2023,Men
