Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
85,ALEJO,SUTER,ARG,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,EMILIANO,TORRIJO,CHI,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,VIKTOR,TRPOVSKI,MKD,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,BENJAMIN,VARGAS,CHI,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,ROMAN,VASKO,UKR,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,THOR,VILLEGAS GARCÍA,MEX,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,DIEGO ERNESTO,VÁZQUEZ,MEX,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
85,LOVRE,ČULIĆ,CRO,0.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Men
1,JANJA,GARNBRET,SLO,1805.0,175.0,177.0,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
2,JESSICA,PILZ,AUT,910.0,98.5,157.1,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
3,AI,MORI,JPN,1495.0,136.9,140.6,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
4,BROOKE,RABOUTOU,USA,1235.0,122.1,137.8,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
5,JAIN,KIM,KOR,251.5,91.1,106.2,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
6,ORIANE,BERTONE,FRA,1130.0,133.5,93.8,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
7,MIHO,NONAKA,JPN,520.0,108.0,93.5,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
8,ANASTASIA,SANDERS,USA,501.0,92.5,69.7,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
9,NATALIA,GROSSMAN,USA,613.0,88.5,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
10,CHAEHYUN,SEO,KOR,700.5,86.4,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
11,MANON,HILY,FRA,431.66,82.3,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
12,MOLLY,THOMPSON-SMITH,GBR,565.0,78.7,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
13,HÉLÈNE,JANICOT,FRA,248.4,73.6,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
14,MIA,KRAMPL,SLO,649.5,73.6,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
15,ZÉLIA,AVEZOU,FRA,765.0,73.3,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
16,OCEANIA,MACKENZIE,AUS,465.5,71.0,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
17,VITA,LUKAN,SLO,357.4,65.5,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
18,AYALA,KEREM,ISR,381.5,53.8,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
19,YEJOO,SEO,KOR,248.4,53.0,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
20,KYRA,CONDIE,USA,265.5,45.5,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
21,LAURA,ROGORA,ITA,586.66,32.9,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
22,LYNN,VAN DER MEER,NED,244.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
23,FRANZISKA,STERRER,AUT,228.19,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
24,ELNAZ,REKABI,IRI,225.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
25,NONOHA,KUME,JPN,183.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
26,IEVGENIIA,KAZBEKOVA,UKR,175.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
27,STASA,GEJO,SRB,173.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
28,LUCIA,DÖRFFEL,GER,157.16,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
29,CAMILLA,MORONI,ITA,145.16,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
30,RYU,NAKAGAWA,JPN,104.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
31,ALANNAH,YIP,CAN,103.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
32,ZHILU,LUO,CHN,102.4,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
33,ANASTASIIA,KOBETS,UKR,92.16,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
34,ELISKA,ADAMOVSKA,CZE,77.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
35,ERIN,MCNEICE,GBR,73.66,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
36,HANNAH,MEUL,GER,55.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
37,CHAEYEONG,KIM,KOR,53.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
38,MICHAELA,SMETANOVA,CZE,45.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
39,GIORGIA,TESIO,ITA,35.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
40,VALENTINA,AGUADO,ARG,32.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
41,NOA,SHIRAN,ISR,24.19,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
42,ANON,MATSUFUJI,JPN,18.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
43,MAYA,DREAMER,ISR,17.19,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
44,IZIAR,MARTÍNEZ ALMENDROS,ESP,16.16,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
45,ALEJANDRA,CONTRERAS,CHI,16.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
46,CHLOE,CAULIER,BEL,13.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
47,REBECCA,FRANGOS,CAN,10.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
48,MARGARITA,AGAMBAYEVA,KAZ,10.19,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
49,INDIANA,CHAPMAN,CAN,10.0,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
50,BABETTE,ROY,CAN,9.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
51,ALEKSANDRA,TOTKOVA,BUL,8.66,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
52,VALERI,KREMER,ISR,8.19,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
53,KYLIE,CULLEN,USA,6.83,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
54,SARINA,GHAFFARI,IRI,5.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
55,ANNE,ACKRE,NOR,4.5,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
56,MARTINA,CASTRO,CHI,4.33,,,IFSC_World_Championships_Bern_2023,1 August - 12 August 2023,Women
