Name,AthleteUrl,Gender,Height,Active,Participations,Age
Sol SA,https://ifsc.results.info/#/athlete/2047,Women,-,2009,115,29
Regine STORÅ,https://ifsc.results.info/#/athlete/11479,Women,-,2019,20,22
Ingrid KINDLIHAGEN,https://ifsc.results.info/#/athlete/3086,Women,-,2016,58,21
Liana Nicole MORA,https://ifsc.results.info/#/athlete/3832,Women,-,2018,8,33
Bianka JANECKA,https://ifsc.results.info/#/athlete/2908,Women,-,2017,45,20
Elizabeth SEPULVEDA,https://ifsc.results.info/#/athlete/12484,Women,-,2021,28,21
Sara COPAR,https://ifsc.results.info/#/athlete/11546,Women,168,2019,58,18
Katja DEBEVEC,https://ifsc.results.info/#/athlete/1130,Women,173,2009,109,28
Mia KRAMPL,https://ifsc.results.info/#/athlete/1161,Women,163,2015,106,23
Stasa GEJO,https://ifsc.results.info/#/athlete/3840,Women,175,2011,121,26
Liv EGLI,https://ifsc.results.info/#/athlete/3881,Women,164,2017,53,20
Andrea KÜMIN,https://ifsc.results.info/#/athlete/3254,Women,164,2011,111,26
Petra KLINGLER,https://ifsc.results.info/#/athlete/3246,Women,162,2006,151,31
Sofya YOKOYAMA,https://ifsc.results.info/#/athlete/4260,Women,-,2013,64,25
Ting-chen YAO,https://ifsc.results.info/#/athlete/2160,Women,-,2017,8,22
Hung Ying LEE,https://ifsc.results.info/#/athlete/2139,Women,170,2006,136,38
Ievgeniia KAZBEKOVA,https://ifsc.results.info/#/athlete/1486,Women,164,2010,118,27
Kylie CULLEN,https://ifsc.results.info/#/athlete/12537,Women,165,2021,34,19
Brooke RABOUTOU,https://ifsc.results.info/#/athlete/1811,Women,158,2015,75,22
Natalia GROSSMAN,https://ifsc.results.info/#/athlete/1803,Women,162,2015,58,22
Anastasia SANDERS,https://ifsc.results.info/#/athlete/13021,Women,162,2021,18,16
Kyra CONDIE,https://ifsc.results.info/#/athlete/1750,Women,162,2012,88,27
Cloe COSCOY,https://ifsc.results.info/#/athlete/11813,Women,-,2019,30,22
Lasse VON FREIER,https://ifsc.results.info/#/athlete/3778,Men,-,2017,27,21
Cheuk-hei HO,https://ifsc.results.info/#/athlete/2219,Men,-,2013,33,25
Michael O'NEILL,https://ifsc.results.info/#/athlete/2597,Men,174,2017,28,23
Yunchan SONG,https://ifsc.results.info/#/athlete/14018,Men,168,2022,17,16
Hongil KIM,https://ifsc.results.info/#/athlete/2045,Men,-,2008,24,29
Hanwool KIM,https://ifsc.results.info/#/athlete/2041,Men,-,2009,77,28
Minyoung LEE,https://ifsc.results.info/#/athlete/2057,Men,-,2013,35,24
Minsung HAN,https://ifsc.results.info/#/athlete/13553,Men,-,2022,12,23
Christopher COSSER,https://ifsc.results.info/#/athlete/1058,Men,178,2014,38,23
Chia Hsiang LIN,https://ifsc.results.info/#/athlete/2146,Men,-,2015,39,25
Ross FULKERSON,https://ifsc.results.info/#/athlete/1871,Men,183,2016,35,22
Valentin STERNIK,https://ifsc.results.info/#/athlete/3169,Men,-,2017,27,22
Lukas KNAPP,https://ifsc.results.info/#/athlete/1263,Men,-,2014,48,26
Tobias PLANGGER,https://ifsc.results.info/#/athlete/1278,Men,182,2015,66,23
Michael FINN-HENRY,https://ifsc.results.info/#/athlete/1843,Men,193,2016,23,24
Adrien LEVESQUE,https://ifsc.results.info/#/athlete/13932,Men,-,2022,3,18
Ethan PITCHER,https://ifsc.results.info/#/athlete/11893,Men,187,2019,15,22
Dylan LE,https://ifsc.results.info/#/athlete/11854,Men,-,2019,17,18
Jinbao LONG,https://ifsc.results.info/#/athlete/11460,Men,-,2019,19,23
Jianguo LONG,https://ifsc.results.info/#/athlete/11395,Men,-,2018,14,20
Xinshang WANG,https://ifsc.results.info/#/athlete/14416,Men,-,2023,9,18
Minhui WANG,https://ifsc.results.info/#/athlete/11938,Men,-,2019,11,20
