FName,LName,full_name,ExtraData,AthleteURL
LIAM,HEALY,LIAM HEALY,AUS • 1997,https://ifsc.results.info/#/athlete/2535
DIEGO,LEQUERICA BUSCAGLIA,DIEGO LEQUERICA BUSCAGLIA,PER • 1995,https://ifsc.results.info/#/athlete/4397
MARK,SCANLON,MARK SCANLON,IRL • 1999,https://ifsc.results.info/#/athlete/2601
IMAN,MORA,IMAN MORA,PHI • 1989,https://ifsc.results.info/#/athlete/3830
YING-CHIEH,WEN,YING-CHIEH WEN,TPE • 1995,https://ifsc.results.info/#/athlete/10868
JOHN JOSEPH,VELORIA,JOHN JOSEPH VELORIA,PHI • 1992,https://ifsc.results.info/#/athlete/3834
BROOKE,RABOUTOU,BROOKE RABOUTOU,USA • 2001,https://ifsc.results.info/#/athlete/1811
HANNAH,MEUL,HANNAH MEUL,GER • 2001,https://ifsc.results.info/#/athlete/3113
ANON,MATSUFUJI,ANON MATSUFUJI,JPN • 2003,https://ifsc.results.info/#/athlete/12297
AYALA,KEREM,AYALA KEREM,ISR • 2001,https://ifsc.results.info/#/athlete/4017
ZHILU,LUO,ZHILU LUO,CHN • 2006,https://ifsc.results.info/#/athlete/13596
MIA,KRAMPL,MIA KRAMPL,SLO • 2000,https://ifsc.results.info/#/athlete/1161
NOA,SHIRAN,NOA SHIRAN,ISR • 2001,https://ifsc.results.info/#/athlete/4002
NATALIA,GROSSMAN,NATALIA GROSSMAN,USA • 2001,https://ifsc.results.info/#/athlete/1803
AI,MORI,AI MORI,JPN • 2003,https://ifsc.results.info/#/athlete/2380
JESSICA,PILZ,JESSICA PILZ,AUT • 1996,https://ifsc.results.info/#/athlete/1226
MIHO,NONAKA,MIHO NONAKA,JPN • 1997,https://ifsc.results.info/#/athlete/2294
SOFYA,YOKOYAMA,SOFYA YOKOYAMA,SUI • 1998,https://ifsc.results.info/#/athlete/4260
FUTABA,ITO,FUTABA ITO,JPN • 2002,https://ifsc.results.info/#/athlete/2357
NONOHA,KUME,NONOHA KUME,JPN • 2003,https://ifsc.results.info/#/athlete/13041
CHAEHYUN,SEO,CHAEHYUN SEO,KOR • 2003,https://ifsc.results.info/#/athlete/2080
MELODY,SEKIKAWA,MELODY SEKIKAWA,JPN • 2007,https://ifsc.results.info/#/athlete/14008
LUCIA,DÖRFFEL,LUCIA DÖRFFEL,GER • 2000,https://ifsc.results.info/#/athlete/4330
CAMILLA,MORONI,CAMILLA MORONI,ITA • 2001,https://ifsc.results.info/#/athlete/947
SELMA,ELHADJ MIMOUNE,SELMA ELHADJ MIMOUNE,FRA • 2004,https://ifsc.results.info/#/athlete/12451
RYU,NAKAGAWA,RYU NAKAGAWA,JPN • 2004,https://ifsc.results.info/#/athlete/11783
MASHIRO,KUZUU,MASHIRO KUZUU,JPN • 2004,https://ifsc.results.info/#/athlete/13992
SARA,COPAR,SARA COPAR,SLO • 2005,https://ifsc.results.info/#/athlete/11546
AGATHE,CALLIET,AGATHE CALLIET,FRA • 2003,https://ifsc.results.info/#/athlete/11653
IEVGENIIA,KAZBEKOVA,IEVGENIIA KAZBEKOVA,UKR • 1996,https://ifsc.results.info/#/athlete/1486
MIA,AOYAGI,MIA AOYAGI,JPN • 2003,https://ifsc.results.info/#/athlete/13321
GIORGIA,TESIO,GIORGIA TESIO,ITA • 2000,https://ifsc.results.info/#/athlete/914
STASA,GEJO,STASA GEJO,SRB • 1997,https://ifsc.results.info/#/athlete/3840
SERIKA,OKAWACHI,SERIKA OKAWACHI,JPN • 1998,https://ifsc.results.info/#/athlete/2349
ZÉLIA,AVEZOU,ZÉLIA AVEZOU,FRA • 2004,https://ifsc.results.info/#/athlete/620
